import time: self [us] | cumulative | imported package
import time:      2608 |       2608 |                         asyncio.windows_utils
import time:      4880 |      32670 |                       asyncio.windows_events
import time:      2980 |     115870 |                     asyncio
import time:      5250 |     121119 |                   starlette._utils
import time:      2632 |       2632 |                           python_multipart.exceptions
import time:      2503 |       5134 |                         python_multipart.decoders
import time:      6846 |      11980 |                       python_multipart.multipart
import time:      3957 |      15937 |                     python_multipart
import time:      8560 |      24496 |                   starlette.formparsers
import time:      5761 |     157314 |                 starlette.requests
import time:      3404 |     162180 |               fastapi.security.api_key
import time:      2712 |       2712 |                 fastapi.security.utils
import time:      9815 |      12527 |               fastapi.security.http
import time:      7836 |       7836 |                 fastapi.param_functions
import time:     12322 |      20157 |               fastapi.security.oauth2
import time:      2946 |       2946 |               fastapi.security.open_id_connect_url
import time:      2812 |     200620 |             fastapi.security
import time:       155 |     200774 |           fastapi.security.base
import time:     10221 |     216885 |         fastapi.dependencies.models
import time:      1841 |       1841 |             starlette.background
import time:      2239 |       4080 |           fastapi.background
import time:      1894 |       1894 |           fastapi.concurrency
import time:      2097 |       2097 |           fastapi.utils
import time:     10839 |      10839 |               _hashlib
import time:       915 |        915 |               _blake2
import time:      3373 |      15127 |             hashlib
import time:      3832 |       3832 |             mimetypes
import time:      3091 |       3091 |               hmac
import time:      2604 |       5694 |             secrets
import time:      8664 |      33316 |           starlette.responses
import time:      6199 |       6199 |           starlette.websockets
import time:     12184 |      59767 |         fastapi.dependencies.utils
import time:      7515 |       7515 |             colorsys
import time:      6391 |      13905 |           pydantic.color
import time:      2147 |       2147 |             pydantic_extra_types
import time:       166 |       2313 |           pydantic_extra_types.color
import time:      4041 |      20258 |         fastapi.encoders
import time:     17305 |      17305 |         fastapi.sse
import time:      2679 |       2679 |           starlette._exception_handler
import time:      5048 |       5048 |           starlette.convertors
import time:      4625 |       4625 |           starlette.middleware
import time:     12329 |      24680 |         starlette.routing
import time:      4416 |       4416 |         starlette.staticfiles
import time:     43327 |    2108356 |       fastapi.routing
import time:      2888 |       2888 |         fastapi.websockets
import time:      3936 |       6823 |       fastapi.exception_handlers
import time:      2952 |       2952 |         fastapi.middleware
import time:      3273 |       6225 |       fastapi.middleware.asyncexitstack
import time:      2619 |       2619 |       fastapi.openapi.docs
import time:      2449 |       2449 |             email.feedparser
import time:      1344 |       3792 |           email.parser
import time:      7978 |      11769 |         http.client
import time:      9365 |       9365 |         fastapi.responses
import time:      8613 |      29746 |       fastapi.openapi.utils
import time:      6425 |       6425 |             html.entities
import time:      4104 |      10529 |           html
import time:      3299 |      13827 |         starlette.middleware.errors
import time:      2191 |       2191 |         starlette.middleware.exceptions
import time:      2843 |      18860 |       starlette.applications
import time:      2663 |       2663 |       starlette.middleware.base
import time:     12152 |    2202224 |     fastapi.applications
import time:      2287 |       2287 |     fastapi.requests
import time:      3160 |    2216794 |   fastapi
import time:      2949 |       2949 |     starlette.middleware.cors
import time:      2143 |       5092 |   fastapi.middleware.cors
import time:      4504 |       4504 |       packages
import time:      2868 |       2868 |       packages.agent_core.version
import time:      2999 |      10371 |     packages.agent_core
import time:      3952 |       3952 |       packages.db
import time:      4091 |       4091 |           sqlalchemy.util.preloaded
import time:      3171 |       3171 |               sqlalchemy.cyextension
import time:      9858 |       9858 |               sqlalchemy.cyextension.collections
import time:      6938 |       6938 |               sqlalchemy.cyextension.immutabledict
import time:      9230 |       9230 |               sqlalchemy.cyextension.processors
import time:      6269 |       6269 |               sqlalchemy.cyextension.resultproxy
import time:     16452 |      16452 |                       _wmi
import time:      3472 |      19923 |                     platform
import time:    614466 |     634388 |                   sqlalchemy.util.compat
import time:      5826 |     640214 |                 sqlalchemy.exc
import time:      9035 |     649248 |               sqlalchemy.cyextension.util
import time:      3865 |     688576 |             sqlalchemy.util._has_cy
import time:     16768 |      16768 |             sqlalchemy.util.typing
import time:      7172 |     712516 |           sqlalchemy.util._collections
import time:      9344 |       9344 |               greenlet._greenlet
import time:      4599 |      13943 |             greenlet
import time:     10813 |      10813 |               sqlalchemy.util.langhelpers
import time:      3466 |      14279 |             sqlalchemy.util._concurrency_py3k
import time:      2562 |      30783 |           sqlalchemy.util.concurrency
import time:      2918 |       2918 |           sqlalchemy.util.deprecations
import time:      4190 |     754496 |         sqlalchemy.util
import time:      5513 |       5513 |                           sqlalchemy.event.registry
import time:      2383 |       7895 |                         sqlalchemy.event.legacy
